Fungal Extraction Samples,Date Extracted,Pippin Date,Gradient Date,
12C.NTH.Day14,,,,
13X.PTH.Day3,,,,
13C.PTH.Day30,,,,
13X.NTH.Day3,,,,
13X.PTH.Day1,,,,
12C.NTH.Day7,,,,
13X.NTH.Day14,,,,
12C.PTH.Day1,,,,
13C.NTH.Day7,,,,
12C.PTH.Day14,,,,
13C.PTH.Day3,,,,
13X.NTH.Day1,,,,
13C.NTH.Day14,,,,
13C.PTH.Day14,,,,
12C.NTH.Day3,,,,
13C.NTH.Day30,,,,
12C.PTH.Day30,,,,
12C.PTH.Day7,,,,
12C.PTH.Day3,,,,
13X.NTH.Day7,,,,
13C.NTH.Day3,,,,
12C.NTH.Day1,,,,
13X.PTH.Day7,,,,
13C.PTH.Day7,,,,
13X.PTH.Day14,,,,
12C.NTH.Day30,,,,
,,,,
,,,,
,,,,
